Date/Time,mean_water_velocity_ft/s,gage_height_ft,discharge_ft3/s
08/06/2015 12:45   CDT,0.82,5.40,725
08/06/2015 13:00   CDT,0.85,5.40,755
08/06/2015 13:15   CDT,0.84,5.39,739
08/06/2015 13:30   CDT,0.84,5.39,739
08/06/2015 13:45   CDT,0.84,5.40,740
08/06/2015 14:00   CDT,0.78,5.39,688
08/06/2015 14:15   CDT,0.77,5.40,681
08/06/2015 14:30   CDT,0.77,5.41,682
08/06/2015 14:45   CDT,0.81,5.41,719
08/06/2015 15:00   CDT,0.78,5.42,690
08/06/2015 15:15   CDT,0.84,5.40,740
08/06/2015 15:30   CDT,0.81,5.43,720
08/06/2015 15:45   CDT,0.76,5.42,675
08/06/2015 16:00   CDT,0.79,5.43,705
08/06/2015 16:15   CDT,0.78,5.43,690
08/06/2015 16:30   CDT,0.81,5.44,721
08/06/2015 16:45   CDT,0.77,5.44,684
08/06/2015 17:00   CDT,0.77,5.44,684
